"player_name"
"Scottie Scheffler"
"Rory McIlroy"
"Xander Schauffele"
"Jon Rahm"
"Collin Morikawa"
"Justin Thomas"
"Tyrrell Hatton"
"Hideki Matsuyama"
"Tommy Fleetwood"
"Patrick Cantlay"
"Ludvig Aberg"
"Bryson DeChambeau"
"Joaquin Niemann"
"Russell Henley"
"Sungjae Im"
"Shane Lowry"
"Sam Burns"
"Tony Finau"
"Maverick McNealy"
"Akshay Bhatia"
"Denny McCarthy"
"Sepp Straka"
"Taylor Pendrith"
"Robert MacIntyre"
"Tom Kim"
"Viktor Hovland"
"Adam Scott"
"Aaron Rai"
"Keegan Bradley"
"Si Woo Kim"
"Alex Noren"
"Corey Conners"
"Max Greyserman"
"Jason Day"
"Sergio Garcia"
"J.T. Poston"
"Ben Griffin"
"Davis Thompson"
"Rasmus Hojgaard"
"Christiaan Bezuidenhout"
"J.J. Spaun"
"Lucas Glover"
"Thomas Detry"
"Harry Hall"
"Min Woo Lee"
"David Puig"
"Sahith Theegala"
"Daniel Berger"
"Will Zalatoris"
"Michael Kim"
"Wyndham Clark"
"Brooks Koepka"
"Nick Taylor"
"Stephan Jaeger"
"Abraham Ancer"
"Brian Harman"
"Dean Burmester"
"Andrew Novak"
"Marc Leishman"
"Sam Stevens"
"Seamus Power"
"Billy Horschel"
"Kurt Kitayama"
"Byeong Hun An"
"Taylor Moore"
"Patrick Rodgers"
"Matt Fitzpatrick"
"Austin Eckroat"
"Harris English"
"Cameron Smith"
"Cameron Davis"
"Matt Kuchar"
"Beau Hossler"
"Keith Mitchell"
"Lee Hodges"
"Louis Oosthuizen"
"Andrew Putnam"
"Laurie Canter"
"Alex Smalley"
"Mackenzie Hughes"
"Cameron Young"
"Nick Dunlap"
"Tom McKibbin"
"Brian Campbell"
"Cameron Tringale"
"Niklas Norgaard"
"Thorbjorn Olesen"
"Jhonattan Vegas"
"Patrick Reed"
"Justin Lower"
"Rickie Fowler"
"Gary Woodland"
"Carlos Ortiz"
"Sebastian Munoz"
"Rasmus Neergaard-Petersen"
"Jordan Spieth"
"Doug Ghim"
"Paul Casey"
"Richard Bland"
"Ryan Gerard"
"Patrick Fishburn"
"Luke Clanton"
"Lucas Herbert"
"Nicolai Hojgaard"
"Jordan Smith"
"Kevin Yu"
"Takumi Kanaya"
"Jacob Bridgeman"
"Matt Wallace"
"Eric Cole"
"Johnny Keefer"
"Mac Meissner"
"Max McGreevy"
"Kevin Roy"
"John Parry"
"Nicolas Echavarria"
"Bud Cauley"
"Anirban Lahiri"
"Chan Kim"
"Peter Uihlein"
"Greyson Sigg"
"Joe Highsmith"
"Justin Rose"
"Adam Svensson"
"C.T. Pan"
"Johannes Veerman"
"Adam Hadwin"
"Tom Hoge"
"Chris Kirk"
"Ryan Fox"
"Julien Guerrier"
"Max Homa"
"Charley Hoffman"
"Jorge Campillo"
"Matteo Manassero"
"Jesper Svensson"
"Lanto Griffin"
"Quade Cummins"
"Matthew Jordan"
"Antoine Rozner"
"Ben Silverman"
"Frankie Capan III"
"Romain Langasque"
"Shaun Norris"
"Sam Ryder"
"Mark Hubbard"
"Sebastian Soderberg"
"Adrian Meronk"
"Austin Smotherman"
"Joel Dahmen"
"Kristoffer Ventura"
"Chandler Phillips"
"Francesco Laporta"
"Pierceson Coody"
"Jake Knapp"
"Kensei Hirata"
"Victor Perez"
"Henrik Norlander"
"Alistair Docherty"
"Thomas Pieters"
"Ben Campbell"
"Vince Whaley"
"Daniel Van Tonder"
"Seung-Yul Noh"
"Keita Nakajima"
"Matt McCarty"
"Zach Johnson"
"Erik Van Rooyen"
"Adrien Saddier"
"Thriston Lawrence"
"Isaiah Salinda"
"Dustin Johnson"
"Ryo Hisatsune"
"Rico Hoey"
"Talor Gooch"
"Ben Kohles"
"Scott Vincent"
"Adam Schenk"
"Angel Ayora"
"Ewen Ferguson"
"Mitchell Meissner"
"Guido Migliozzi"
"Webb Simpson"
"Charl Schwartzel"
"Alex Fitzpatrick"
"Andy Sullivan"
"Joost Luiten"
"Carson Young"
"Matthias Schmid"
"Jayden Schaper"
"Christo Lamprecht"
"Davis Chatfield"
"Steve Stricker"
"Brandon Stone"
"Alexander Bjork"
"Ricky Castillo"
"Oliver Lindell"
