player_name,dg_rank
"Scheffler, Scottie",1
"McIlroy, Rory",2
"Young, Cameron",3
"Rahm, Jon",4
"Aberg, Ludvig",5
"Fitzpatrick, Matt",6
"Schauffele, Xander",7
"Henley, Russell",8
"Fleetwood, Tommy",9
"Kim, Si Woo",10
"Cantlay, Patrick",11
"Morikawa, Collin",12
"Spaun, J.J.",13
"Burns, Sam",14
"Gotterup, Chris",15
"McNealy, Maverick",16
"Smalley, Alex",17
"Griffin, Ben",18
"DeChambeau, Bryson",19
"Knapp, Jake",20
"Lee, Min Woo",21
"English, Harris",22
"Hojgaard, Nicolai",23
"Noren, Alex",24
"Matsuyama, Hideki",25
"Thomas, Justin",26
"MacIntyre, Robert",27
"Fowler, Rickie",28
"Kitayama, Kurt",29
"Scott, Adam",30
"Rose, Justin",31
"Lowry, Shane",32
"Hovland, Viktor",33
"Bhatia, Akshay",34
"Reed, Patrick",35
"Spieth, Jordan",36
"Taylor, Nick",37
"Clark, Wyndham",38
"Reitan, Kristoffer",39
"Rai, Aaron",40
"Straka, Sepp",41
"Woodland, Gary",42
"Bradley, Keegan",43
"Niemann, Joaquin",44
"Koivun, Jackson",45
"Meissner, Mac",46
"Puig, David",47
"Gerard, Ryan",48
"Bridgeman, Jacob",49
"Hall, Harry",50
"Cole, Eric",51
"Conners, Corey",52
"Hatton, Tyrrell",53
"Mitchell, Keith",54
"Day, Jason",55
"Kim, Michael",56
"Fitzpatrick, Alex",57
"Berger, Daniel",58
"Putnam, Andrew",59
"Coody, Pierceson",60
"McCarty, Matt",61
"Bezuidenhout, Christiaan",62
"Harman, Brian",63
"Cauley, Bud",64
"Koepka, Brooks",65
"Hillier, Daniel",66
"Hisatsune, Ryo",67
"Fox, Ryan",68
"Thorbjornsen, Michael",69
"McCarthy, Denny",70
"Poston, J.T.",71
"Detry, Thomas",72
"Wallace, Matt",73
"Burmester, Dean",74
"Theegala, Sahith",75
"Stevens, Sam",76
"Schaper, Jayden",77
"Grace, Branden",78
"Novak, Andrew",79
"Leishman, Marc",80
"Bauchou, Zach",81
"Smith, Jordan",82
"Thompson, Davis",83
"Ayora, Angel",84
"Brennan, Michael",85
"Hoey, Rico",86
"Johnson, Dustin",87
"Pendrith, Taylor",88
"Vincent, Scott",89
"Greyserman, Max",90
"Herbert, Lucas",91
"Jarvis, Casey",92
"Brown, Blades",93
"Lindell, Oliver",94
"Chacarra, Eugenio",95
"Yellamaraju, Sudarshan",96
"Fisk, Steven",97
"Homa, Max",98
"Ghim, Doug",99
"Olesen, Thorbjorn",100
"McGreevy, Max",101
"Ancer, Abraham",102
"Smith, Cameron",103
"Ballester, Jose Luis",104
"Castillo, Ricky",105
"Perez, Victor",106
"Rodgers, Patrick",107
"Munoz, Sebastian",108
"Kirk, Chris",109
"Howell III, Charles",110
"Jaeger, Stephan",111
"Im, Sungjae",112
"Kaneko, Kota",113
"Hojgaard, Rasmus",114
"Neergaard-Petersen, Rasmus",115
"Moore, Taylor",116
"Dossey, Cooper",117
"Hughes, Mackenzie",118
"Schmid, Matti",119
"Kim, Tom",120
"Echavarria, Nico",121
"Olesen, Jacob Skov",122
"Finau, Tony",123
"Eckroat, Austin",124
"Zalatoris, Will",125
"Dumont De Chassart, Adrien",126
"Lindberg, Mikael",127
"Smotherman, Austin",128
"Ferguson, Ewen",129
"Li, Haotong",130
"Keefer, Johnny",131
"McKibbin, Tom",132
"Gooch, Talor",133
"Valimaki, Sami",134
"Power, Seamus",135
"Garcia, Sergio",136
"Ortiz, Carlos",137
"Kim, S.H.",138
"Parry, John",139
"Rozner, Antoine",140
"Cink, Stewart",141
"Pieters, Thomas",142
"James, Ben",143
"Snedeker, Brandt",144
"Ramey, Chad",145
"Mouw, William",146
"Dou, Zecheng",147
"Ryder, Sam",148
"Hossler, Beau",149
"Campillo, Jorge",150
"Armitage, Marcus",151
"Potgieter, Aldrich",152
"Glover, Lucas",153
"Kuchar, Matt",154
"Yu, Kevin",155
"Penge, Marco",156
"Hodges, Lee",157
"Johnson, Michael",158
"Wiesberger, Bernd",159
"Couvra, Martin",160
"Coussaud, Ugo",161
"Oosthuizen, Louis",162
"Roy, Kevin",163
"Whaley, Vince",164
"Du Plessis, Hennie",165
"Bradbury, Dan",166
"Kimsey, Nathan",167
"Blanchet, Chandler",168
"Hill, Calum",169
"Ewart, A.J.",170
"Horschel, Billy",171
"Blair, Zac",172
"Hubbard, Mark",173
"Redman, Doc",174
"Johnson, Zach",175
"Ritchie, JC",176
"Burgoon, Bronson",177
"Higgo, Garrick",178
"Ventura, Kris",179
"Casey, Paul",180
"Griffin, Lanto",181
"Ding, Wenyi",182
"Gilligan, Ian",183
"Laporta, Francesco",184
"Kanaya, Takumi",185
"Hoge, Tom",186
"Scott, Sandy",187
"Sherwood, Cole",188
"Nakajima, Keita",189
"Suber, Jackson",190
"Grillo, Emiliano",191
"Lipsky, David",192
"Shore, Davis",193
"Brown, Dan",194
"Simpson, Webb",195
"An, Byeong Hun",196
"Ford, David",197
"VanArragon, Caleb",198
"Vegas, Jhonattan",199
"Pavon, Matthieu",200
"Tringale, Cameron",201
"Vaillant, Tom",202
"Holt, Ian",203
"Kinoshita, Ryosuke",204
"Guerrier, Julien",205
"Lee, Richard",206
"Fishburn, Patrick",207
"Del Rey, Alejandro",208
"Pepperell, Eddie",209
"Song, Younghan",210
"Saddier, Adrien",211
"Cabrera Bello, Rafa",212
"Van Driel, Darius",213
"Surratt, Caleb",214
"Pak, John",215
"Stout, Preston",216
"De Leo, Gregorio",217
"Svensson, Adam",218
"Kim, Chan",219
"Taylor, Ben",220
"Vilips, Karl",221
"Kohles, Ben",222
"Jordan, Matthew",223
"Menante, Dylan",224
"Noh, S.Y.",225
"Svensson, Jesper",226
"Schwartzel, Charl",227
"Dahmen, Joel",228
"Bramlett, Joseph",229
"Meissner, Mitchell",230
"Pavan, Andrea",231
"Springer, Hayden",232
"Varner III, Harold",233
"Crowe, Trace",234
"Canter, Laurie",235
"Sullivan, Andy",236
"Peterson, Paul",237
"Steele, Brendan",238
"Molinari, Francesco",239
"Van Rooyen, Erik",240
"Bland, Richard",241
"Watson, Bubba",242
"Maas, Christian",243
"Forrest, Grant",244
"Lamb, Davis",245
"Docherty, Alistair",246
"Bryant, Davis",247
"Smylie, Elvis",248
"Lebioda, Hank",249
"Gouveia, Ricardo",250
"Lawrence, Thriston",251
"Young, Carson",252
"Schneider, Marcel",253
"Kobori, Kazuma",254
"Gandon, Jeremy",255
"Sigg, Greyson",256
"Norris, Shaun",257
"Gonzalez, Emilio",258
"Manassero, Matteo",259
"Phillips, Trent",260
"Elvira, Manuel",261
"Skinns, David",262
"Otaegui, Adrian",263
"Luiten, Joost",264
"Semikawa, Taiga",265
"Shipley, Neal",266
"Smyth, Trav",267
"Lamb, Rick",268
"Daffue, MJ",269
"Ortiz, Alvaro",270
"Nyholm, Pontus",271
"Kokrak, Jason",272
"Clanton, Luke",273
"Eichhorn, Hunter",274
"Russell, Miles",275
"Wu, Dylan",276
"Scrivener, Jason",277
"Robinson Thompson, Brandon",278
"Snyman, Ian",279
"Johnston, Andrew",280
"Ishikawa, Ryo",281
"Hammer, Cole",282
"Waring, Paul",283
"Hosono, Yusaku",284
"Silverman, Ben",285
"VanDerLaan, John",286
"Mun, Doyeob",287
"Yonezawa, Ren",288
"Van Tonder, Daniel",289
"Elvira Mijares, Ignacio",290
"LaCroix, Frederic",291
"Cone, Trevor",292
"Steelman, Ross",293
"Montgomery, Taylor",294
"Stone, Brandon",295
"Garnett, Brice",296
"Uihlein, Peter",297
"Goodwin, Noah",298
"Hadwin, Adam",299
"Atkins, Matt",300
"Truslow, Austen",301
"Cummins, Quade",302
"Alker, Steven",303
"Buckley, Hayden",304
"Fernandez Valdes, Jorge",305
"Malnati, Peter",306
"Zhou, Yanhan",307
"Meronk, Adrian",308
"Ravetto, David",309
"Wang, Jeunghun",310
"Prinsloo, Jaco",311
"Guillamoundeguy, Oihan",312
"Streelman, Kevin",313
"Lahiri, Anirban",314
"Mansell, Richard",315
"Clements, Todd",316
"Schmidt, Ben",317
"Andersen, Mason",318
"Galletti, Nicolo",319
"Nagano, Ryutaro",320
"Dunlap, Nick",321
"Phillips, Chandler",322
"Imahira, Shugo",323
"Kruyswijk, Jacques",324
"Salinda, Isaiah",325
"Rosenmueller, Thomas",326
"Sloan, Roger",327
"Nicholas, James",328
"Kinhult, Marcus",329
"Kang, Jeffrey",330
"Migliozzi, Guido",331
"Hirata, Kensei",332
"Ponder, Thomas",333
"Halvorsen, Andreas",334
"Langasque, Romain",335
"Lower, Justin",336
"Higa, Kazuki",337
"Walker, Danny",338
"Winther, Jeff",339
"Aphibarnrat, Kiradech",340
"Chatfield, Davis",341
"Reavie, Chez",342
"Voke, Nick",343
"Dean, Joe",344
"Akina, Kihei",345
"Ramsay, Richie",346
"Sugiura, Yuta",347
"Carr, Ben",348
"Vincent, Kieran",349
"Butler, John Marshall",350
"Lee, S.T.",351
"Kaymer, Martin",352
"Levy, Alexander",353
"Schott, Freddy",354
"Campbell, Brian",355
"Da Costa Rodrigues, Daniel",356
"Champ, Cameron",357
"Hoshino, Rikuya",358
"McDowell, Graeme",359
"Kim, Anthony",360
"Katsuragawa, Yuto",361
"Suh, Justin",362
"Kozuma, Jinichiro",363
"Chirravuri, Mahanth",364
"Frittelli, Dylan",365
"Poulter, Ian",366
"Westwood, Lee",367
"Sato, Taihei",368
"Lagergren, Joakim",369
"Gabrelcik, Nick",370
"Knox, Russell",371
"Sterne, Richard",372
"Janewattananond, Jazz",373
"Steinlechner, Maximilian",374
"Hitt, Austin",375
"Townsend, Hugo",376
"Luck, Curtis",377
"Lamprecht, Christo",378
"Trace, Travis",379
"Horikawa, Mikumu",380
"Duncan, Tyler",381
"Lombard, Zander",382
"Tuten, Shad",383
"Hardy, Nick",384
"Gomez, Fabian",385
"Ikemura, Tomoyo",386
"Girrbach, Joel",387
"Mullinax, Trey",388
"Kaewkanjana, Sadom",389
"Villegas, Camilo",390
"Bautista, Austin",391
"Norlander, Henrik",392
"Bairstow, Sam",393
"Sides, William",394
"Wu, Ashun",395
"Norgaard, Niklas",396
"Ereno Perez, Pablo",397
"Hoffman, Charley",398
"Veerman, Johannes",399
"Card III, Jay",400
"Paul, Jeremy",401
"Premlall, Yurav",402
"Summy, Jase",403
"Mickelson, Phil",404
"Els, Ernie",405
"Jonsson, Tobias",406
"Yoshida, Taiki",407
"Ok, Taehoon",408
"Bacha, Carson",409
"Botha, Barend",410
"Pulkkanen, Tapio",411
"Morrison, Tommy",412
"Saksansin, Poom",413
"Macdonald, Stuart",414
"Choi, Jinho",415
"Law, David",416
"Watts, Tyler",417
"Stanger, Jimmy",418
"Hitchner, Derek",419
"Ishizaka, Tomohiro",420
"Barron, Haydn",421
"Katsumata, Ryo",422
"Shelton, Robby",423
"Masaveu, Luis",424
"Cannon, Will",425
"Laird, Martin",426
"Lee, Junghwan",427
"Stenson, Henrik",428
"Rozo, Marcelo",429
"Soderberg, Sebastian",430
"McAllister, Logan",431
"Higgs, Harry",432
"Byrd, Jonathan",433
"Asaji, Yosuke",434
"Song, Minhyuk",435
"Crocker, Sean",436
"Kizzire, Patton",437
"Ogiso, Takashi",438
"Lemke, Niklas",439
"Harrington, Padraig",440
"Schenk, Adam",441
"Yuan, Carl",442
"Walker, Euan",443
"Westmoreland, Kyle",444
"Chang, Paul",445
"Figueiredo, Pedro",446
"Jakubcik, Filip",447
"Fischer, Tom",448
"Quayle, Anthony",449
"Van Paris, Jackson",450
"Kawamoto, Riki",451
"Piot, James",452
"Willett, Danny",453
"Francoeur, Chris",454
"Ormsby, Wade",455
"Cockerill, Aaron",456
"Howe, Connor",457
"Tangkamolprasert, Pavit",458
"Dantorp, Jens",459
"Ham, Jeong Woo",460
"Zheng, Sampson",461
"Young, Daniel",462
"Moldovan, Maxwell",463
"Hruby, Petr",464
"Riley, Davis",465
"Ogletree, Andy",466
"Brown, Hamish",467
"Chandler, Will",468
"Lewis, Riley",469
"Bae, Yongjun",470
"Lewis, Bryce",471
"Maichon, Phichaksn",472
"Weaver, Tyler",473
"List, Luke",474
"Newcomb, Patrick",475
"Tabuena, Miguel",476
"Highsmith, Joe",477
"Wallin, Adam",478
"Kinney, Tripp",479
"Jang, Yubin",480
"Cowan, Ryder",481
"Gilbert, Josiah",482
"Enefer, Will",483
"Takis, Harry",484
"Humphrey, Theo",485
"Cantero Gutierrez, Ivan",486
"Potter, Luke",487
"Youprayong, Runchanapong",488
"Whitney, Tom",489
"Thomas, Rayhan",490
"Williams, Mason",491
"Campbell, Ben",492
"Fioroni, Caden",493
"Summerhays, Daniel",494
"Merritt, Troy",495
"Dougherty, Kevin",496
"Lindh, Charlie",497
"Van Der Merwe, Graham",498
"Gordon, Will",499
"Shogenji, Tatsunori",500
