"name","dg_rank"
"Scottie Scheffler",1
"Jon Rahm",2
"Tommy Fleetwood",3
"Rory McIlroy",4
"Russell Henley",5
"Ben Griffin",6
"Xander Schauffele",7
"Bryson DeChambeau",8
"J.J. Spaun",9
"Robert MacIntyre",10
"Sam Burns",11
"Cameron Young",12
"Patrick Cantlay",13
"Matt Fitzpatrick",14
"Viktor Hovland",15
"Ludvig Aberg",16
"Hideki Matsuyama",17
"Si Woo Kim",18
"Harry Hall",19
"Harris English",20
"Alex Noren",21
"Keegan Bradley",22
"Justin Thomas",23
"Jayden Schaper",24
"Maverick McNealy",25
"Rickie Fowler",26
"Jason Day",27
"Shane Lowry",28
"Corey Conners",29
"Ryan Gerard",30
"Taylor Pendrith",31
"Collin Morikawa",32
"Chris Gotterup",33
"Rasmus Hojgaard",34
"Matt McCarty",35
"Tyrrell Hatton",36
"Sepp Straka",37
"Christiaan Bezuidenhout",38
"Kurt Kitayama",39
"Nick Taylor",40
"David Puig",41
"J.T. Poston",42
"Aaron Rai",43
"Denny McCarthy",44
"Thorbjorn Olesen",45
"Adam Scott",46
"Justin Rose",47
"Garrick Higgo",48
"Jordan Spieth",49
"Rasmus Neergaard-Petersen",50
"Angel Ayora",51
"Max Greyserman",52
"John Parry",53
"Daniel Berger",54
"Jake Knapp",55
"Michael Thorbjornsen",56
"Min Woo Lee",57
"Patrick Reed",58
"Michael Kim",59
"Sam Stevens",60
"Wyndham Clark",61
"Daniel Hillier",62
"Max McGreevy",63
"Akshay Bhatia",64
"Pierceson Coody",65
"Nicolai Hojgaard",66
"Marco Penge",67
"Lucas Glover",68
"Rico Hoey",69
"Brian Harman",70
"Jacob Bridgeman",71
"Sami Valimaki",72
"Tom McKibbin",73
"Jackson Koivun",74
"Davis Thompson",75
"Chris Kirk",76
"Matt Kuchar",77
"Will Zalatoris",78
"Carlos Ortiz",79
"Mac Meissner",80
"Vince Whaley",81
"Patrick Rodgers",82
"Joaquin Niemann",83
"Haotong Li",84
"Sebastian Munoz",85
"Kevin Yu",86
"Kristoffer Reitan",87
"Max Homa",88
"Thomas Detry",89
"Jordan Smith",90
"Johnny Keefer",91
"Matt Wallace",92
"Keith Mitchell",93
"Alex Smalley",94
"Takumi Kanaya",95
"Eric Cole",96
"Seamus Power",97
"Cameron Tringale",98
"Billy Horschel",99
"Michael Brennan",100
"Andrew Novak",101
"Bud Cauley",102
"Nico Echavarria",103
"Sahith Theegala",104
"Lee Hodges",105
"Marcus Armitage",106
"Emiliano Grillo",107
"Byeong Hun An",108
"Ryan Fox",109
"Adrien Dumont De Chassart",110
"Marc Leishman",111
"Ricky Castillo",112
"Dan Brown",113
"Oliver Lindell",114
"Sungjae Im",115
"Doug Ghim",116
"Abraham Ancer",117
"Andrew Putnam",118
"Victor Perez",119
"Kris Ventura",120
"Andy Sullivan",121
"Cameron Smith",122
"Kevin Roy",123
"Tom Kim",124
"Bubba Watson",125
"Trent Phillips",126
"Thomas Pieters",127
"Louis Oosthuizen",128
"Matti Schmid",129
"Wenyi Ding",130
"Branden Grace",131
"S.H. Kim",132
"Charles Howell III",133
"Chandler Blanchet",134
"Austin Eckroat",135
"Gary Woodland",136
"Paul Casey",137
"Charl Schwartzel",138
"Julien Guerrier",139
"William Mouw",140
"Chandler Phillips",141
"Sergio Garcia",142
"Talor Gooch",143
"Joost Luiten",144
"Stephan Jaeger",145
"Mackenzie Hughes",146
"Ewen Ferguson",147
"Patrick Fishburn",148
"Dylan Wu",149
"Jhonattan Vegas",150
"Steven Fisk",151
"Beau Hossler",152
"Dean Burmester",153
"Ben Kohles",154
"Webb Simpson",155
"Austin Smotherman",156
"Keita Nakajima",157
"Laurie Canter",158
"Thomas Rosenmueller",159
"Tom Hoge",160
"Zac Blair",161
"Brooks Koepka",162
"Adrien Saddier",163
"Jose Luis Ballester",164
"Jorge Campillo",165
"Sam Ryder",166
"Zecheng Dou",167
"Chad Ramey",168
"Mark Hubbard",169
"Thriston Lawrence",170
"Hayden Springer",171
"Lucas Herbert",172
"Richard Bland",173
"Antoine Rozner",174
"Zach Johnson",175
"Elvis Smylie",176
"Greyson Sigg",177
"Joel Dahmen",178
"Ben Silverman",179
"JC Ritchie",180
"Tony Finau",181
"Caleb Surratt",182
"Brandt Snedeker",183
"Ian Holt",184
"Ben Martin",185
"David Ford",186
"Taylor Moore",187
"Eugenio Chacarra",188
"Neal Shipley",189
"Grant Forrest",190
"Jesper Svensson",191
"Taiga Semikawa",192
"Stewart Cink",193
"Emilio Gonzalez",194
"Adam Svensson",195
"Dan Bradbury",196
"Anirban Lahiri",197
"Brice Garnett",198
"Alex Fitzpatrick",199
"David Lipsky",200
"Mitchell Meissner",201
"Scott Vincent",202
"Patton Kizzire",203
"Dustin Johnson",204
"Ben James",205
"Cooper Dossey",206
"Noah Goodwin",207
"Marcel Schneider",208
"Trevor Cone",209
