"name","dg_rank"
"Scottie Scheffler",1
"Rory McIlroy",2
"Cameron Young",3
"Jon Rahm",4
"Ludvig Aberg",5
"Matt Fitzpatrick",6
"Xander Schauffele",7
"Russell Henley",8
"Tommy Fleetwood",9
"Si Woo Kim",10
"Patrick Cantlay",11
"Collin Morikawa",12
"J.J. Spaun",13
"Sam Burns",14
"Chris Gotterup",15
"Maverick McNealy",16
"Alex Smalley",17
"Ben Griffin",18
"Bryson DeChambeau",19
"Jake Knapp",20
"Min Woo Lee",21
"Harris English",22
"Nicolai Hojgaard",23
"Alex Noren",24
"Hideki Matsuyama",25
"Justin Thomas",26
"Robert MacIntyre",27
"Rickie Fowler",28
"Kurt Kitayama",29
"Adam Scott",30
"Justin Rose",31
"Shane Lowry",32
"Viktor Hovland",33
"Akshay Bhatia",34
"Patrick Reed",35
"Jordan Spieth",36
"Nick Taylor",37
"Wyndham Clark",38
"Kristoffer Reitan",39
"Aaron Rai",40
"Sepp Straka",41
"Gary Woodland",42
"Keegan Bradley",43
"Joaquin Niemann",44
"Jackson Koivun",45
"Mac Meissner",46
"David Puig",47
"Ryan Gerard",48
"Jacob Bridgeman",49
"Harry Hall",50
"Eric Cole",51
"Corey Conners",52
"Tyrrell Hatton",53
"Keith Mitchell",54
"Jason Day",55
"Michael Kim",56
"Alex Fitzpatrick",57
"Daniel Berger",58
"Andrew Putnam",59
"Pierceson Coody",60
"Matt McCarty",61
"Christiaan Bezuidenhout",62
"Brian Harman",63
"Bud Cauley",64
"Brooks Koepka",65
"Daniel Hillier",66
"Ryo Hisatsune",67
"Ryan Fox",68
"Michael Thorbjornsen",69
"Denny McCarthy",70
"J.T. Poston",71
"Thomas Detry",72
"Matt Wallace",73
"Dean Burmester",74
"Sahith Theegala",75
"Sam Stevens",76
"Jayden Schaper",77
"Branden Grace",78
"Andrew Novak",79
"Marc Leishman",80
"Zach Bauchou",81
"Jordan Smith",82
"Davis Thompson",83
"Angel Ayora",84
"Michael Brennan",85
"Rico Hoey",86
"Dustin Johnson",87
"Taylor Pendrith",88
"Scott Vincent",89
"Max Greyserman",90
"Lucas Herbert",91
"Casey Jarvis",92
"Blades Brown",93
"Oliver Lindell",94
"Eugenio Chacarra",95
"Sudarshan Yellamaraju",96
"Steven Fisk",97
"Max Homa",98
"Doug Ghim",99
"Thorbjorn Olesen",100
"Max McGreevy",101
"Abraham Ancer",102
"Cameron Smith",103
"Jose Luis Ballester",104
"Ricky Castillo",105
"Victor Perez",106
"Patrick Rodgers",107
"Sebastian Munoz",108
"Chris Kirk",109
"Charles Howell III",110
"Stephan Jaeger",111
"Sungjae Im",112
"Kota Kaneko",113
"Rasmus Hojgaard",114
"Rasmus Neergaard-Petersen",115
"Taylor Moore",116
"Cooper Dossey",117
"Mackenzie Hughes",118
"Matti Schmid",119
"Tom Kim",120
"Nico Echavarria",121
"Jacob Skov Olesen",122
"Tony Finau",123
"Austin Eckroat",124
"Will Zalatoris",125
"Adrien Dumont De Chassart",126
"Mikael Lindberg",127
"Austin Smotherman",128
"Ewen Ferguson",129
"Haotong Li",130
"Johnny Keefer",131
"Tom McKibbin",132
"Talor Gooch",133
"Sami Valimaki",134
"Seamus Power",135
"Sergio Garcia",136
"Carlos Ortiz",137
"S.H. Kim",138
"John Parry",139
"Antoine Rozner",140
"Stewart Cink",141
"Thomas Pieters",142
"Ben James",143
"Brandt Snedeker",144
"Chad Ramey",145
"William Mouw",146
"Zecheng Dou",147
"Sam Ryder",148
"Beau Hossler",149
"Jorge Campillo",150
"Marcus Armitage",151
"Aldrich Potgieter",152
"Lucas Glover",153
"Matt Kuchar",154
"Kevin Yu",155
"Marco Penge",156
"Lee Hodges",157
"Michael Johnson",158
"Bernd Wiesberger",159
"Martin Couvra",160
"Ugo Coussaud",161
"Louis Oosthuizen",162
"Kevin Roy",163
"Vince Whaley",164
"Hennie Du Plessis",165
"Dan Bradbury",166
"Nathan Kimsey",167
"Chandler Blanchet",168
"Calum Hill",169
"A.J. Ewart",170
"Billy Horschel",171
"Zac Blair",172
"Mark Hubbard",173
"Doc Redman",174
"Zach Johnson",175
"JC Ritchie",176
"Bronson Burgoon",177
"Garrick Higgo",178
"Kris Ventura",179
"Paul Casey",180
"Lanto Griffin",181
"Wenyi Ding",182
"Ian Gilligan",183
"Francesco Laporta",184
"Takumi Kanaya",185
"Tom Hoge",186
"Sandy Scott",187
"Cole Sherwood",188
"Keita Nakajima",189
"Jackson Suber",190
"Emiliano Grillo",191
"David Lipsky",192
"Davis Shore",193
"Dan Brown",194
"Webb Simpson",195
"Byeong Hun An",196
"David Ford",197
"Caleb VanArragon",198
"Jhonattan Vegas",199
"Matthieu Pavon",200
"Cameron Tringale",201
"Tom Vaillant",202
"Ian Holt",203
"Ryosuke Kinoshita",204
"Julien Guerrier",205
"Richard Lee",206
"Patrick Fishburn",207
"Alejandro Del Rey",208
"Eddie Pepperell",209
"Younghan Song",210
"Adrien Saddier",211
"Rafa Cabrera Bello",212
"Darius Van Driel",213
"Caleb Surratt",214
"John Pak",215
"Preston Stout",216
"Gregorio De Leo",217
"Adam Svensson",218
"Chan Kim",219
"Ben Taylor",220
"Karl Vilips",221
"Ben Kohles",222
"Matthew Jordan",223
"Dylan Menante",224
"S.Y. Noh",225
"Jesper Svensson",226
"Charl Schwartzel",227
"Joel Dahmen",228
"Joseph Bramlett",229
"Mitchell Meissner",230
"Andrea Pavan",231
"Hayden Springer",232
"Harold Varner III",233
"Trace Crowe",234
"Laurie Canter",235
"Andy Sullivan",236
"Paul Peterson",237
"Brendan Steele",238
"Francesco Molinari",239
"Erik Van Rooyen",240
"Richard Bland",241
"Bubba Watson",242
"Christian Maas",243
"Grant Forrest",244
"Davis Lamb",245
"Alistair Docherty",246
"Davis Bryant",247
"Elvis Smylie",248
"Hank Lebioda",249
"Ricardo Gouveia",250
"Thriston Lawrence",251
"Carson Young",252
"Marcel Schneider",253
"Kazuma Kobori",254
"Jeremy Gandon",255
"Greyson Sigg",256
"Shaun Norris",257
"Emilio Gonzalez",258
"Matteo Manassero",259
"Trent Phillips",260
"Manuel Elvira",261
"David Skinns",262
"Adrian Otaegui",263
"Joost Luiten",264
"Taiga Semikawa",265
"Neal Shipley",266
"Trav Smyth",267
"Rick Lamb",268
"MJ Daffue",269
"Alvaro Ortiz",270
"Pontus Nyholm",271
"Jason Kokrak",272
"Luke Clanton",273
"Hunter Eichhorn",274
"Miles Russell",275
"Dylan Wu",276
"Jason Scrivener",277
"Brandon Robinson Thompson",278
"Ian Snyman",279
"Andrew Johnston",280
"Ryo Ishikawa",281
"Cole Hammer",282
"Paul Waring",283
"Yusaku Hosono",284
"Ben Silverman",285
"John VanDerLaan",286
"Doyeob Mun",287
"Ren Yonezawa",288
"Daniel Van Tonder",289
"Ignacio Elvira Mijares",290
"Frederic LaCroix",291
"Trevor Cone",292
"Ross Steelman",293
"Taylor Montgomery",294
"Brandon Stone",295
"Brice Garnett",296
"Peter Uihlein",297
"Noah Goodwin",298
"Adam Hadwin",299
"Matt Atkins",300
"Austen Truslow",301
"Quade Cummins",302
"Steven Alker",303
"Hayden Buckley",304
"Jorge Fernandez Valdes",305
"Peter Malnati",306
"Yanhan Zhou",307
"Adrian Meronk",308
"David Ravetto",309
"Jeunghun Wang",310
"Jaco Prinsloo",311
"Oihan Guillamoundeguy",312
"Kevin Streelman",313
"Anirban Lahiri",314
"Richard Mansell",315
"Todd Clements",316
"Ben Schmidt",317
"Mason Andersen",318
"Nicolo Galletti",319
"Ryutaro Nagano",320
"Nick Dunlap",321
"Chandler Phillips",322
"Shugo Imahira",323
"Jacques Kruyswijk",324
"Isaiah Salinda",325
"Thomas Rosenmueller",326
"Roger Sloan",327
"James Nicholas",328
"Marcus Kinhult",329
"Jeffrey Kang",330
"Guido Migliozzi",331
"Kensei Hirata",332
"Thomas Ponder",333
"Andreas Halvorsen",334
"Romain Langasque",335
"Justin Lower",336
"Kazuki Higa",337
"Danny Walker",338
"Jeff Winther",339
"Kiradech Aphibarnrat",340
"Davis Chatfield",341
"Chez Reavie",342
"Nick Voke",343
"Joe Dean",344
"Kihei Akina",345
"Richie Ramsay",346
"Yuta Sugiura",347
"Ben Carr",348
"Kieran Vincent",349
"John Marshall Butler",350
"S.T. Lee",351
"Martin Kaymer",352
"Alexander Levy",353
"Freddy Schott",354
"Brian Campbell",355
"Daniel Da Costa Rodrigues",356
"Cameron Champ",357
"Rikuya Hoshino",358
"Graeme McDowell",359
"Anthony Kim",360
"Yuto Katsuragawa",361
"Justin Suh",362
"Jinichiro Kozuma",363
"Mahanth Chirravuri",364
"Dylan Frittelli",365
"Ian Poulter",366
"Lee Westwood",367
"Taihei Sato",368
"Joakim Lagergren",369
"Nick Gabrelcik",370
"Russell Knox",371
"Richard Sterne",372
"Jazz Janewattananond",373
"Maximilian Steinlechner",374
"Austin Hitt",375
"Hugo Townsend",376
"Curtis Luck",377
"Christo Lamprecht",378
"Travis Trace",379
"Mikumu Horikawa",380
"Tyler Duncan",381
"Zander Lombard",382
"Shad Tuten",383
"Nick Hardy",384
"Fabian Gomez",385
"Tomoyo Ikemura",386
"Joel Girrbach",387
"Trey Mullinax",388
"Sadom Kaewkanjana",389
"Camilo Villegas",390
"Austin Bautista",391
"Henrik Norlander",392
"Sam Bairstow",393
"William Sides",394
"Ashun Wu",395
"Niklas Norgaard",396
"Pablo Ereno Perez",397
"Charley Hoffman",398
"Johannes Veerman",399
"Jay Card III",400
"Jeremy Paul",401
"Yurav Premlall",402
"Jase Summy",403
"Phil Mickelson",404
"Ernie Els",405
"Tobias Jonsson",406
"Taiki Yoshida",407
"Taehoon Ok",408
"Carson Bacha",409
"Barend Botha",410
"Tapio Pulkkanen",411
"Tommy Morrison",412
"Poom Saksansin",413
