"name","dg_rank","url"
"Scottie Scheffler",1,"https://www.espn.com/golf/player/_/id/9478/scottie-scheffler"
"Jon Rahm",2,"https://www.espn.com/golf/player/_/id/9780/jon-rahm"
"Tommy Fleetwood",3,"https://www.espn.com/golf/player/_/id/5539/tommy-fleetwood"
"Rory McIlroy",4,"https://www.espn.com/golf/player/_/id/3470/rory-mcilroy"
"Russell Henley",5,"https://www.espn.com/golf/player/_/id/5409/russell-henley"
"Ben Griffin",6,"https://www.espn.com/golf/player/_/id/4404992/ben-griffin"
"Xander Schauffele",7,"https://www.espn.com/golf/player/_/id/10140/xander-schauffele"
"Bryson DeChambeau",8,"https://www.espn.com/golf/player/_/id/10046/bryson-dechambeau"
"J.J. Spaun",9,"https://www.espn.com/golf/player/_/id/10166/jj-spaun"
"Robert MacIntyre",10,"https://www.espn.com/golf/player/_/id/11378/robert-macintyre"
"Sam Burns",11,"https://www.espn.com/golf/player/_/id/9938/sam-burns"
"Cameron Young",12,"https://www.espn.com/golf/player/_/id/4425906/cameron-young"
"Patrick Cantlay",13,"https://www.espn.com/golf/player/_/id/6007/patrick-cantlay"
"Matt Fitzpatrick",14,"https://www.espn.com/golf/player/_/id/9037/matt-fitzpatrick"
"Viktor Hovland",15,"https://www.espn.com/golf/player/_/id/4364873/viktor-hovland"
"Ludvig Aberg",16,"https://www.espn.com/golf/player/_/id/4375972/ludvig-aberg"
"Hideki Matsuyama",17,"https://www.espn.com/golf/player/_/id/5860/hideki-matsuyama"
"Si Woo Kim",18,"https://www.espn.com/golf/player/_/id/7081/si-woo-kim"
"Harry Hall",19,"https://www.espn.com/golf/player/_/id/4589438/harry-hall"
"Harris English",20,"https://www.espn.com/golf/player/_/id/5408/harris-english"
"Alex Noren",21,"https://www.espn.com/golf/player/_/id/3832/alex-noren"
"Keegan Bradley",22,"https://www.espn.com/golf/player/_/id/4513/keegan-bradley"
"Justin Thomas",23,"https://www.espn.com/golf/player/_/id/4848/justin-thomas"
"Jayden Schaper",24,"https://www.espn.com/golf/player/_/id/4604053/jayden-schaper"
"Maverick McNealy",25,"https://www.espn.com/golf/player/_/id/9530/maverick-mcnealy"
"Rickie Fowler",26,"https://www.espn.com/golf/player/_/id/3702/rickie-fowler"
"Jason Day",27,"https://www.espn.com/golf/player/_/id/1680/jason-day"
"Shane Lowry",28,"https://www.espn.com/golf/player/_/id/4587/shane-lowry"
"Corey Conners",29,"https://www.espn.com/golf/player/_/id/9126/corey-conners"
"Ryan Gerard",30,"https://www.espn.com/golf/player/_/id/5076021/ryan-gerard"
"Taylor Pendrith",31,"https://www.espn.com/golf/player/_/id/9658/taylor-pendrith"
"Collin Morikawa",32,"https://www.espn.com/golf/player/_/id/10592/collin-morikawa"
"Chris Gotterup",33,"https://www.espn.com/golf/player/_/id/4690755/chris-gotterup"
"Rasmus Hojgaard",34,"https://www.espn.com/golf/player/_/id/11253/rasmus-h%C3%B8jgaard"
"Matt McCarty",35,"https://www.espn.com/golf/player/_/id/4901368/matt-mccarty"
"Tyrrell Hatton",36,"https://www.espn.com/golf/player/_/id/5553/tyrrell-hatton"
"Sepp Straka",37,"https://www.espn.com/golf/player/_/id/8961/sepp-straka"
"Christiaan Bezuidenhout",38,"https://www.espn.com/golf/player/_/id/9243/christiaan-bezuidenhout"
"Kurt Kitayama",39,"https://www.espn.com/golf/player/_/id/10364/kurt-kitayama"
"Nick Taylor",40,"https://www.espn.com/golf/player/_/id/3792/nick-taylor"
"David Puig",41,"https://www.espn.com/golf/player/_/id/4895429/david-puig"
"J.T. Poston",42,"https://www.espn.com/golf/player/_/id/10505/jt-poston"
"Aaron Rai",43,"https://www.espn.com/golf/player/_/id/10906/aaron-rai"
"Denny McCarthy",44,"https://www.espn.com/golf/player/_/id/10054/denny-mccarthy"
"Thorbjorn Olesen",45,"https://www.espn.com/golf/player/_/id/5140/thorbj%C3%B8rn-olesen"
"Adam Scott",46,"https://www.espn.com/golf/player/_/id/388/adam-scott"
"Justin Rose",47,"https://www.espn.com/golf/player/_/id/569/justin-rose"
"Garrick Higgo",48,"https://www.espn.com/golf/player/_/id/11393/garrick-higgo"
"Jordan Spieth",49,"https://www.espn.com/golf/player/_/id/5467/jordan-spieth"
"Rasmus Neergaard-Petersen",50,"https://www.espn.com/golf/player/_/id/4858859/rasmus-neergaard-petersen"
"Angel Ayora",51,"https://www.espn.com/golf/player/_/id/5105333/angel-ayora"
"Max Greyserman",52,"https://www.espn.com/golf/player/_/id/11101/max-greyserman"
"John Parry",53,"https://www.espn.com/golf/player/_/id/4671/john-parry"
"Daniel Berger",54,"https://www.espn.com/golf/player/_/id/9025/daniel-berger"
